GS	SIZE	SOURCE	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Signal	FDR (median)	glob.p.val
GSE17721_0.5H_VS_24H_POLYIC_BMDM_DN	173	http://www.broadinstitute.org/gsea/msigdb/cards/GSE17721_0.5H_VS_24H_POLYIC_BMDM_DN	-0.23747	-1.1472	0.1996	0.9073	1	0.393	0.297	0.28	0.81188	0.336
GSE17580_UNINFECTED_VS_S_MANSONI_INF_TREG_DN	169	http://www.broadinstitute.org/gsea/msigdb/cards/GSE17580_UNINFECTED_VS_S_MANSONI_INF_TREG_DN	-0.24808	-1.147	0.2261	0.89943	1	0.42	0.295	0.3	0.80425	0.332
GSE360_L_DONOVANI_VS_B_MALAYI_HIGH_DOSE_DC_UP	159	http://www.broadinstitute.org/gsea/msigdb/cards/GSE360_L_DONOVANI_VS_B_MALAYI_HIGH_DOSE_DC_UP	-0.30926	-1.147	0.2687	0.90374	1	0.308	0.17	0.259	0.80776	0.336
GSE24142_ADULT_VS_FETAL_DN3_THYMOCYTE_DN	152	http://www.broadinstitute.org/gsea/msigdb/cards/GSE24142_ADULT_VS_FETAL_DN3_THYMOCYTE_DN	-0.26851	-1.1458	0.1993	0.90108	1	0.197	0.103	0.179	0.80564	0.332
GSE29618_PRE_VS_DAY7_POST_TIV_FLU_VACCINE_MONOCYTE_UP	134	http://www.broadinstitute.org/gsea/msigdb/cards/GSE29618_PRE_VS_DAY7_POST_TIV_FLU_VACCINE_MONOCYTE_UP	-0.25364	-1.1454	0.184	0.89858	1	0.201	0.145	0.174	0.80417	0.329
GSE360_CTRL_VS_B_MALAYI_LOW_DOSE_DC_DN	142	http://www.broadinstitute.org/gsea/msigdb/cards/GSE360_CTRL_VS_B_MALAYI_LOW_DOSE_DC_DN	-0.27266	-1.145	0.2354	0.89631	1	0.218	0.145	0.189	0.80236	0.326
GSE360_CTRL_VS_B_MALAYI_LOW_DOSE_MAC_DN	155	http://www.broadinstitute.org/gsea/msigdb/cards/GSE360_CTRL_VS_B_MALAYI_LOW_DOSE_MAC_DN	-0.22782	-1.1449	0.171	0.89205	1	0.323	0.239	0.249	0.79837	0.324
GSE20366_TREG_VS_NAIVE_CD4_TCELL_HOMEOSTATIC_CONVERSION_UP	151	http://www.broadinstitute.org/gsea/msigdb/cards/GSE20366_TREG_VS_NAIVE_CD4_TCELL_HOMEOSTATIC_CONVERSION_UP	-0.2668	-1.1426	0.1996	0.89997	1	0.238	0.159	0.203	0.80672	0.327
GSE17721_LPS_VS_PAM3CSK4_0.5H_BMDM_DN	157	http://www.broadinstitute.org/gsea/msigdb/cards/GSE17721_LPS_VS_PAM3CSK4_0.5H_BMDM_DN	-0.24732	-1.1403	0.185	0.90804	1	0.274	0.206	0.22	0.82105	0.338
GSE14308_TH1_VS_TH17_DN	167	http://www.broadinstitute.org/gsea/msigdb/cards/GSE14308_TH1_VS_TH17_DN	-0.22999	-1.1398	0.1947	0.90602	1	0.198	0.164	0.167	0.81703	0.336
GSE17721_CTRL_VS_POLYIC_24H_BMDM_DN	158	http://www.broadinstitute.org/gsea/msigdb/cards/GSE17721_CTRL_VS_POLYIC_24H_BMDM_DN	-0.26603	-1.1397	0.2634	0.90208	1	0.31	0.198	0.252	0.81304	0.332
GSE34205_HEALTHY_VS_FLU_INF_INFANT_PBMC_DN	175	http://www.broadinstitute.org/gsea/msigdb/cards/GSE34205_HEALTHY_VS_FLU_INF_INFANT_PBMC_DN	-0.28642	-1.1372	0.2841	0.91168	1	0.263	0.194	0.215	0.82464	0.341
GSE9988_ANTI_TREM1_VS_LOW_LPS_MONOCYTE_UP	171	http://www.broadinstitute.org/gsea/msigdb/cards/GSE9988_ANTI_TREM1_VS_LOW_LPS_MONOCYTE_UP	-0.27729	-1.1342	0.2755	0.92281	1	0.275	0.186	0.227	0.8325	0.358
GSE360_L_MAJOR_VS_B_MALAYI_HIGH_DOSE_DC_UP	161	http://www.broadinstitute.org/gsea/msigdb/cards/GSE360_L_MAJOR_VS_B_MALAYI_HIGH_DOSE_DC_UP	-0.28199	-1.1325	0.2687	0.92757	1	0.292	0.168	0.246	0.83865	0.366
GSE14769_UNSTIM_VS_80MIN_LPS_BMDM_DN	172	http://www.broadinstitute.org/gsea/msigdb/cards/GSE14769_UNSTIM_VS_80MIN_LPS_BMDM_DN	-0.31891	-1.1323	0.2953	0.92425	1	0.32	0.197	0.26	0.83587	0.359
GSE17721_4_VS_24H_GARDIQUIMOD_BMDM_DN	182	http://www.broadinstitute.org/gsea/msigdb/cards/GSE17721_4_VS_24H_GARDIQUIMOD_BMDM_DN	-0.2133	-1.1313	0.1589	0.92541	1	0.313	0.249	0.239	0.83542	0.359
GSE360_T_GONDII_VS_B_MALAYI_LOW_DOSE_DC_UP	148	http://www.broadinstitute.org/gsea/msigdb/cards/GSE360_T_GONDII_VS_B_MALAYI_LOW_DOSE_DC_UP	-0.28393	-1.1308	0.2388	0.92355	1	0.318	0.181	0.263	0.83549	0.355
GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_2H_DN	111	http://www.broadinstitute.org/gsea/msigdb/cards/GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_2H_DN	-0.27689	-1.13	0.2235	0.92336	1	0.351	0.205	0.282	0.83543	0.356
GSE30083_SP1_VS_SP3_THYMOCYTE_UP	167	http://www.broadinstitute.org/gsea/msigdb/cards/GSE30083_SP1_VS_SP3_THYMOCYTE_UP	-0.24388	-1.1293	0.1875	0.92288	1	0.305	0.213	0.243	0.83523	0.356
GSE17721_0.5H_VS_8H_POLYIC_BMDM_DN	169	http://www.broadinstitute.org/gsea/msigdb/cards/GSE17721_0.5H_VS_8H_POLYIC_BMDM_DN	-0.2288	-1.1279	0.219	0.92586	1	0.272	0.195	0.222	0.83446	0.36
GSE22886_IGG_IGA_MEMORY_BCELL_VS_BLOOD_PLASMA_CELL_DN	176	http://www.broadinstitute.org/gsea/msigdb/cards/GSE22886_IGG_IGA_MEMORY_BCELL_VS_BLOOD_PLASMA_CELL_DN	-0.23119	-1.1271	0.2476	0.92561	1	0.233	0.173	0.195	0.83232	0.36
GSE17721_PAM3CSK4_VS_GADIQUIMOD_16H_BMDM_UP	150	http://www.broadinstitute.org/gsea/msigdb/cards/GSE17721_PAM3CSK4_VS_GADIQUIMOD_16H_BMDM_UP	-0.25152	-1.1267	0.2226	0.92297	1	0.247	0.178	0.205	0.82999	0.357
GSE3982_MEMORY_CD4_TCELL_VS_TH2_UP	158	http://www.broadinstitute.org/gsea/msigdb/cards/GSE3982_MEMORY_CD4_TCELL_VS_TH2_UP	-0.2569	-1.1267	0.2496	0.91895	1	0.266	0.191	0.218	0.82736	0.353
GSE3982_MAST_CELL_VS_NKCELL_UP	173	http://www.broadinstitute.org/gsea/msigdb/cards/GSE3982_MAST_CELL_VS_NKCELL_UP	-0.23648	-1.1254	0.2559	0.92168	1	0.254	0.197	0.207	0.83096	0.356
GSE14308_TH17_VS_INDUCED_TREG_UP	170	http://www.broadinstitute.org/gsea/msigdb/cards/GSE14308_TH17_VS_INDUCED_TREG_UP	-0.24299	-1.1252	0.2205	0.91849	1	0.288	0.202	0.233	0.82808	0.347
GSE39820_TGFBETA3_IL6_VS_TGFBETA3_IL6_IL23A_TREATED_CD4_TCELL_UP	164	http://www.broadinstitute.org/gsea/msigdb/cards/GSE39820_TGFBETA3_IL6_VS_TGFBETA3_IL6_IL23A_TREATED_CD4_TCELL_UP	-0.25142	-1.1248	0.2509	0.91608	1	0.311	0.221	0.245	0.82546	0.346
GSE14000_UNSTIM_VS_16H_LPS_DC_DN	168	http://www.broadinstitute.org/gsea/msigdb/cards/GSE14000_UNSTIM_VS_16H_LPS_DC_DN	-0.26267	-1.1243	0.28	0.91462	1	0.321	0.231	0.25	0.82647	0.346
GSE17721_0.5H_VS_4H_LPS_BMDM_DN	146	http://www.broadinstitute.org/gsea/msigdb/cards/GSE17721_0.5H_VS_4H_LPS_BMDM_DN	-0.2645	-1.1233	0.2641	0.9155	1	0.205	0.133	0.18	0.82821	0.347
GSE20366_TREG_VS_NAIVE_CD4_TCELL_UP	167	http://www.broadinstitute.org/gsea/msigdb/cards/GSE20366_TREG_VS_NAIVE_CD4_TCELL_UP	-0.25029	-1.1229	0.2515	0.91378	1	0.174	0.115	0.156	0.8265	0.346
GSE17721_CTRL_VS_PAM3CSK4_24H_BMDM_UP	180	http://www.broadinstitute.org/gsea/msigdb/cards/GSE17721_CTRL_VS_PAM3CSK4_24H_BMDM_UP	-0.23208	-1.1223	0.2199	0.91274	1	0.239	0.195	0.195	0.82592	0.343
GSE6269_HEALTHY_VS_STREP_AUREUS_INF_PBMC_DN	155	http://www.broadinstitute.org/gsea/msigdb/cards/GSE6269_HEALTHY_VS_STREP_AUREUS_INF_PBMC_DN	-0.28845	-1.1213	0.2649	0.91396	1	0.329	0.2	0.266	0.82534	0.345
GSE15767_MED_VS_SCS_MAC_LN_DN	170	http://www.broadinstitute.org/gsea/msigdb/cards/GSE15767_MED_VS_SCS_MAC_LN_DN	-0.24153	-1.1204	0.2421	0.91427	1	0.182	0.134	0.16	0.82816	0.342
GSE339_CD4POS_VS_CD8POS_DC_DN	175	http://www.broadinstitute.org/gsea/msigdb/cards/GSE339_CD4POS_VS_CD8POS_DC_DN	-0.23695	-1.12	0.2305	0.91271	1	0.234	0.167	0.198	0.8264	0.341
GSE26495_NAIVE_VS_PD1HIGH_CD8_TCELL_UP	142	http://www.broadinstitute.org/gsea/msigdb/cards/GSE26495_NAIVE_VS_PD1HIGH_CD8_TCELL_UP	-0.28252	-1.1199	0.2454	0.90929	1	0.211	0.111	0.19	0.82277	0.341
GSE17974_0.5H_VS_72H_UNTREATED_IN_VITRO_CD4_TCELL_UP	163	http://www.broadinstitute.org/gsea/msigdb/cards/GSE17974_0.5H_VS_72H_UNTREATED_IN_VITRO_CD4_TCELL_UP	-0.22785	-1.1167	0.2244	0.92144	1	0.344	0.258	0.258	0.83797	0.35
GSE3982_MAC_VS_NEUTROPHIL_LPS_STIM_UP	186	http://www.broadinstitute.org/gsea/msigdb/cards/GSE3982_MAC_VS_NEUTROPHIL_LPS_STIM_UP	-0.23038	-1.1162	0.2601	0.92005	1	0.323	0.264	0.241	0.83432	0.348
GSE3982_EOSINOPHIL_VS_BCELL_UP	140	http://www.broadinstitute.org/gsea/msigdb/cards/GSE3982_EOSINOPHIL_VS_BCELL_UP	-0.27413	-1.1145	0.2233	0.92499	1	0.229	0.13	0.201	0.8409	0.355
GSE17721_CTRL_VS_GARDIQUIMOD_4H_BMDM_UP	184	http://www.broadinstitute.org/gsea/msigdb/cards/GSE17721_CTRL_VS_GARDIQUIMOD_4H_BMDM_UP	-0.20859	-1.1139	0.2105	0.92413	1	0.299	0.231	0.233	0.83889	0.354
GSE17721_CTRL_VS_PAM3CSK4_0.5H_BMDM_DN	152	http://www.broadinstitute.org/gsea/msigdb/cards/GSE17721_CTRL_VS_PAM3CSK4_0.5H_BMDM_DN	-0.23308	-1.1137	0.2361	0.92117	1	0.204	0.145	0.176	0.83719	0.349
GSE9006_HEALTHY_VS_TYPE_1_DIABETES_PBMC_AT_DX_DN	163	http://www.broadinstitute.org/gsea/msigdb/cards/GSE9006_HEALTHY_VS_TYPE_1_DIABETES_PBMC_AT_DX_DN	-0.2641	-1.1133	0.2444	0.91933	1	0.135	0.0783	0.126	0.83625	0.345
GSE9037_CTRL_VS_LPS_1H_STIM_IRAK4_KO_BMDM_DN	155	http://www.broadinstitute.org/gsea/msigdb/cards/GSE9037_CTRL_VS_LPS_1H_STIM_IRAK4_KO_BMDM_DN	-0.25938	-1.1122	0.262	0.92116	1	0.323	0.207	0.259	0.83867	0.352
GSE17721_CTRL_VS_LPS_2H_BMDM_UP	163	http://www.broadinstitute.org/gsea/msigdb/cards/GSE17721_CTRL_VS_LPS_2H_BMDM_UP	-0.23453	-1.1114	0.2444	0.92098	1	0.38	0.294	0.272	0.83864	0.352
GSE17721_PAM3CSK4_VS_CPG_4H_BMDM_UP	169	http://www.broadinstitute.org/gsea/msigdb/cards/GSE17721_PAM3CSK4_VS_CPG_4H_BMDM_UP	-0.23579	-1.1094	0.2669	0.92783	1	0.213	0.185	0.176	0.84817	0.36
GSE36392_EOSINOPHIL_VS_MAC_IL25_TREATED_LUNG_UP	110	http://www.broadinstitute.org/gsea/msigdb/cards/GSE36392_EOSINOPHIL_VS_MAC_IL25_TREATED_LUNG_UP	-0.27466	-1.109	0.2554	0.92202	1	0.236	0.113	0.211	0.84248	0.351
GSE39820_IL1B_IL6_VS_IL1B_IL6_IL23A_TREATED_CD4_TCELL_DN	146	http://www.broadinstitute.org/gsea/msigdb/cards/GSE39820_IL1B_IL6_VS_IL1B_IL6_IL23A_TREATED_CD4_TCELL_DN	-0.28282	-1.109	0.3	0.9255	1	0.205	0.0959	0.188	0.84602	0.358
GSE18791_UNSTIM_VS_NEWCATSLE_VIRUS_DC_1H_DN	132	http://www.broadinstitute.org/gsea/msigdb/cards/GSE18791_UNSTIM_VS_NEWCATSLE_VIRUS_DC_1H_DN	-0.24039	-1.1089	0.251	0.91852	1	0.333	0.267	0.247	0.84007	0.349
GSE20715_WT_VS_TLR4_KO_LUNG_DN	141	http://www.broadinstitute.org/gsea/msigdb/cards/GSE20715_WT_VS_TLR4_KO_LUNG_DN	-0.23628	-1.1056	0.2514	0.93134	1	0.397	0.271	0.293	0.85381	0.361
GSE32423_MEMORY_VS_NAIVE_CD8_TCELL_UP	133	http://www.broadinstitute.org/gsea/msigdb/cards/GSE32423_MEMORY_VS_NAIVE_CD8_TCELL_UP	-0.28378	-1.1056	0.2709	0.92751	1	0.293	0.17	0.246	0.85028	0.361
KAECH_NAIVE_VS_MEMORY_CD8_TCELL_UP	169	http://www.broadinstitute.org/gsea/msigdb/cards/KAECH_NAIVE_VS_MEMORY_CD8_TCELL_UP	-0.23014	-1.1053	0.2557	0.92503	1	0.172	0.133	0.151	0.84745	0.355
GSE17721_PAM3CSK4_VS_GADIQUIMOD_8H_BMDM_UP	170	http://www.broadinstitute.org/gsea/msigdb/cards/GSE17721_PAM3CSK4_VS_GADIQUIMOD_8H_BMDM_UP	-0.22913	-1.105	0.2645	0.92263	1	0.235	0.179	0.196	0.84397	0.352
GSE10239_MEMORY_VS_KLRG1INT_EFF_CD8_TCELL_UP	140	http://www.broadinstitute.org/gsea/msigdb/cards/GSE10239_MEMORY_VS_KLRG1INT_EFF_CD8_TCELL_UP	-0.2674	-1.1038	0.292	0.92536	1	0.221	0.158	0.188	0.8451	0.354
GSE17721_POLYIC_VS_PAM3CSK4_24H_BMDM_UP	167	http://www.broadinstitute.org/gsea/msigdb/cards/GSE17721_POLYIC_VS_PAM3CSK4_24H_BMDM_UP	-0.23976	-1.1036	0.2429	0.92273	1	0.24	0.185	0.198	0.84322	0.352
GSE6269_STREP_AUREUS_VS_STREP_PNEUMO_INF_PBMC_DN	135	http://www.broadinstitute.org/gsea/msigdb/cards/GSE6269_STREP_AUREUS_VS_STREP_PNEUMO_INF_PBMC_DN	-0.22695	-1.1032	0.2356	0.92062	1	0.207	0.169	0.174	0.84075	0.349
GSE9988_ANTI_TREM1_VS_CTRL_TREATED_MONOCYTES_UP	170	http://www.broadinstitute.org/gsea/msigdb/cards/GSE9988_ANTI_TREM1_VS_CTRL_TREATED_MONOCYTES_UP	-0.30668	-1.1032	0.3719	0.91714	1	0.341	0.218	0.27	0.83856	0.344
GSE360_HIGH_DOSE_B_MALAYI_VS_M_TUBERCULOSIS_DC_DN	171	http://www.broadinstitute.org/gsea/msigdb/cards/GSE360_HIGH_DOSE_B_MALAYI_VS_M_TUBERCULOSIS_DC_DN	-0.29579	-1.1029	0.3159	0.91517	1	0.357	0.225	0.28	0.83767	0.344
GSE8868_SPLEEN_VS_INTESTINE_CD11B_POS_CD11C_NEG_DC_DN	171	http://www.broadinstitute.org/gsea/msigdb/cards/GSE8868_SPLEEN_VS_INTESTINE_CD11B_POS_CD11C_NEG_DC_DN	-0.25652	-1.1021	0.2799	0.91529	1	0.175	0.107	0.159	0.84035	0.344
GSE14308_TH1_VS_INDUCED_TREG_DN	162	http://www.broadinstitute.org/gsea/msigdb/cards/GSE14308_TH1_VS_INDUCED_TREG_DN	-0.21928	-1.1018	0.2428	0.91335	1	0.198	0.18	0.164	0.83754	0.341
GSE22886_DAY0_VS_DAY7_MONOCYTE_IN_CULTURE_UP	177	http://www.broadinstitute.org/gsea/msigdb/cards/GSE22886_DAY0_VS_DAY7_MONOCYTE_IN_CULTURE_UP	-0.26215	-1.1015	0.2684	0.91101	1	0.271	0.185	0.224	0.83423	0.338
GSE20715_0H_VS_6H_OZONE_LUNG_DN	160	http://www.broadinstitute.org/gsea/msigdb/cards/GSE20715_0H_VS_6H_OZONE_LUNG_DN	-0.27564	-1.1009	0.2968	0.91047	1	0.238	0.18	0.197	0.83588	0.34
GSE17721_POLYIC_VS_CPG_2H_BMDM_DN	156	http://www.broadinstitute.org/gsea/msigdb/cards/GSE17721_POLYIC_VS_CPG_2H_BMDM_DN	-0.2324	-1.099	0.2437	0.91618	1	0.282	0.185	0.233	0.83952	0.348
GSE36476_YOUNG_VS_OLD_DONOR_MEMORY_CD4_TCELL_40H_TSST_ACT_DN	178	http://www.broadinstitute.org/gsea/msigdb/cards/GSE36476_YOUNG_VS_OLD_DONOR_MEMORY_CD4_TCELL_40H_TSST_ACT_DN	-0.23577	-1.099	0.2956	0.91272	1	0.191	0.148	0.165	0.83623	0.345
GSE17721_LPS_VS_PAM3CSK4_4H_BMDM_DN	180	http://www.broadinstitute.org/gsea/msigdb/cards/GSE17721_LPS_VS_PAM3CSK4_4H_BMDM_DN	-0.23204	-1.0987	0.2794	0.91081	1	0.322	0.242	0.248	0.83495	0.342
GSE17721_0.5H_VS_24H_LPS_BMDM_DN	169	http://www.broadinstitute.org/gsea/msigdb/cards/GSE17721_0.5H_VS_24H_LPS_BMDM_DN	-0.23671	-1.0975	0.2783	0.91286	1	0.189	0.137	0.165	0.83674	0.345
GSE7460_FOXP3_MUT_VS_WT_ACT_TCONV_UP	170	http://www.broadinstitute.org/gsea/msigdb/cards/GSE7460_FOXP3_MUT_VS_WT_ACT_TCONV_UP	-0.24927	-1.0974	0.2633	0.90997	1	0.182	0.131	0.161	0.8335	0.343
GSE3982_NEUTROPHIL_VS_BCELL_UP	144	http://www.broadinstitute.org/gsea/msigdb/cards/GSE3982_NEUTROPHIL_VS_BCELL_UP	-0.26509	-1.0971	0.3162	0.90797	1	0.368	0.218	0.291	0.832	0.342
GSE22886_NAIVE_CD4_TCELL_VS_DC_DN	191	http://www.broadinstitute.org/gsea/msigdb/cards/GSE22886_NAIVE_CD4_TCELL_VS_DC_DN	-0.2264	-1.0966	0.284	0.90735	1	0.262	0.204	0.211	0.83257	0.341
GSE360_L_DONOVANI_VS_T_GONDII_MAC_DN	173	http://www.broadinstitute.org/gsea/msigdb/cards/GSE360_L_DONOVANI_VS_T_GONDII_MAC_DN	-0.2585	-1.0962	0.302	0.9054	1	0.185	0.128	0.163	0.8319	0.339
GSE1460_NAIVE_CD4_TCELL_ADULT_BLOOD_VS_THYMIC_STROMAL_CELL_UP	153	http://www.broadinstitute.org/gsea/msigdb/cards/GSE1460_NAIVE_CD4_TCELL_ADULT_BLOOD_VS_THYMIC_STROMAL_CELL_UP	-0.2472	-1.0953	0.2998	0.90644	1	0.248	0.199	0.201	0.83137	0.342
GSE3982_DC_VS_NEUTROPHIL_LPS_STIM_DN	131	http://www.broadinstitute.org/gsea/msigdb/cards/GSE3982_DC_VS_NEUTROPHIL_LPS_STIM_DN	-0.24666	-1.0946	0.2537	0.90665	1	0.214	0.133	0.187	0.83297	0.343
GSE17721_0.5H_VS_8H_CPG_BMDM_DN	176	http://www.broadinstitute.org/gsea/msigdb/cards/GSE17721_0.5H_VS_8H_CPG_BMDM_DN	-0.22459	-1.0939	0.2495	0.90324	1	0.119	0.0731	0.112	0.83139	0.342
GSE22886_IL2_VS_IL15_STIM_NKCELL_DN	160	http://www.broadinstitute.org/gsea/msigdb/cards/GSE22886_IL2_VS_IL15_STIM_NKCELL_DN	-0.21139	-1.0939	0.246	0.90665	1	0.231	0.206	0.186	0.83454	0.345
GSE360_L_DONOVANI_VS_B_MALAYI_LOW_DOSE_MAC_UP	173	http://www.broadinstitute.org/gsea/msigdb/cards/GSE360_L_DONOVANI_VS_B_MALAYI_LOW_DOSE_MAC_UP	-0.24728	-1.0934	0.2973	0.9023	1	0.237	0.186	0.196	0.83104	0.339
GSE17974_0.5H_VS_72H_IL4_AND_ANTI_IL12_ACT_CD4_TCELL_UP	175	http://www.broadinstitute.org/gsea/msigdb/cards/GSE17974_0.5H_VS_72H_IL4_AND_ANTI_IL12_ACT_CD4_TCELL_UP	-0.25242	-1.0932	0.3209	0.9001	1	0.263	0.181	0.218	0.82951	0.338
GSE9988_ANTI_TREM1_VS_LPS_MONOCYTE_UP	175	http://www.broadinstitute.org/gsea/msigdb/cards/GSE9988_ANTI_TREM1_VS_LPS_MONOCYTE_UP	-0.26647	-1.0931	0.3382	0.89701	1	0.366	0.247	0.279	0.82884	0.329
GSE13484_3H_UNSTIM_VS_YF17D_VACCINE_STIM_PBMC_UP	180	http://www.broadinstitute.org/gsea/msigdb/cards/GSE13484_3H_UNSTIM_VS_YF17D_VACCINE_STIM_PBMC_UP	-0.22945	-1.0922	0.2415	0.89858	1	0.35	0.259	0.263	0.8305	0.337
GSE17721_POLYIC_VS_PAM3CSK4_4H_BMDM_UP	172	http://www.broadinstitute.org/gsea/msigdb/cards/GSE17721_POLYIC_VS_PAM3CSK4_4H_BMDM_UP	-0.22891	-1.0915	0.2549	0.8986	1	0.163	0.127	0.144	0.82819	0.334
GSE6269_STREP_AUREUS_VS_STREP_PNEUMO_INF_PBMC_UP	137	http://www.broadinstitute.org/gsea/msigdb/cards/GSE6269_STREP_AUREUS_VS_STREP_PNEUMO_INF_PBMC_UP	-0.24194	-1.0896	0.2722	0.90435	1	0.131	0.0524	0.126	0.8383	0.344
GSE360_L_MAJOR_VS_T_GONDII_DC_UP	101	http://www.broadinstitute.org/gsea/msigdb/cards/GSE360_L_MAJOR_VS_T_GONDII_DC_UP	-0.27002	-1.0893	0.2886	0.90267	1	0.277	0.201	0.223	0.83641	0.34
GSE17721_PAM3CSK4_VS_CPG_1H_BMDM_DN	158	http://www.broadinstitute.org/gsea/msigdb/cards/GSE17721_PAM3CSK4_VS_CPG_1H_BMDM_DN	-0.22515	-1.0888	0.2682	0.90168	1	0.31	0.235	0.24	0.83591	0.338
GSE10239_NAIVE_VS_KLRG1INT_EFF_CD8_TCELL_UP	177	http://www.broadinstitute.org/gsea/msigdb/cards/GSE10239_NAIVE_VS_KLRG1INT_EFF_CD8_TCELL_UP	-0.24518	-1.0875	0.297	0.905	1	0.215	0.142	0.187	0.83909	0.341
GSE39820_TGFBETA1_VS_TGFBETA3_IN_IL6_IL23A_TREATED_CD4_TCELL_UP	148	http://www.broadinstitute.org/gsea/msigdb/cards/GSE39820_TGFBETA1_VS_TGFBETA3_IN_IL6_IL23A_TREATED_CD4_TCELL_UP	-0.22055	-1.0873	0.2717	0.90247	1	0.162	0.13	0.143	0.83784	0.34
GSE13484_12H_UNSTIM_VS_YF17D_VACCINE_STIM_PBMC_DN	164	http://www.broadinstitute.org/gsea/msigdb/cards/GSE13484_12H_UNSTIM_VS_YF17D_VACCINE_STIM_PBMC_DN	-0.27654	-1.087	0.3132	0.90102	1	0.232	0.136	0.203	0.8377	0.336
GSE9650_NAIVE_VS_EFF_CD8_TCELL_UP	179	http://www.broadinstitute.org/gsea/msigdb/cards/GSE9650_NAIVE_VS_EFF_CD8_TCELL_UP	-0.23123	-1.0852	0.2885	0.90631	1	0.201	0.157	0.172	0.84251	0.342
GSE9988_ANTI_TREM1_AND_LPS_VS_VEHICLE_TREATED_MONOCYTES_UP	151	http://www.broadinstitute.org/gsea/msigdb/cards/GSE9988_ANTI_TREM1_AND_LPS_VS_VEHICLE_TREATED_MONOCYTES_UP	-0.29835	-1.0849	0.3571	0.90447	1	0.344	0.224	0.27	0.84218	0.337
GSE22886_DAY1_VS_DAY7_MONOCYTE_IN_CULTURE_UP	170	http://www.broadinstitute.org/gsea/msigdb/cards/GSE22886_DAY1_VS_DAY7_MONOCYTE_IN_CULTURE_UP	-0.2662	-1.0845	0.316	0.90315	1	0.182	0.111	0.164	0.84068	0.339
GSE27786_LSK_VS_NKTCELL_DN	157	http://www.broadinstitute.org/gsea/msigdb/cards/GSE27786_LSK_VS_NKTCELL_DN	-0.22922	-1.0842	0.2943	0.9013	1	0.261	0.209	0.209	0.83851	0.337
GSE3982_NEUTROPHIL_VS_EFF_MEMORY_CD4_TCELL_UP	175	http://www.broadinstitute.org/gsea/msigdb/cards/GSE3982_NEUTROPHIL_VS_EFF_MEMORY_CD4_TCELL_UP	-0.26094	-1.0825	0.3153	0.9063	1	0.28	0.201	0.227	0.84518	0.34
GSE14308_TH2_VS_NATURAL_TREG_DN	155	http://www.broadinstitute.org/gsea/msigdb/cards/GSE14308_TH2_VS_NATURAL_TREG_DN	-0.20714	-1.0811	0.2603	0.90993	1	0.226	0.204	0.182	0.84718	0.347
GSE29618_MONOCYTE_VS_PDC_DAY7_FLU_VACCINE_DN	164	http://www.broadinstitute.org/gsea/msigdb/cards/GSE29618_MONOCYTE_VS_PDC_DAY7_FLU_VACCINE_DN	-0.25495	-1.0809	0.3226	0.90747	1	0.201	0.151	0.173	0.84639	0.341
GSE27786_BCELL_VS_CD8_TCELL_DN	155	http://www.broadinstitute.org/gsea/msigdb/cards/GSE27786_BCELL_VS_CD8_TCELL_DN	-0.23991	-1.0805	0.2952	0.90621	1	0.206	0.167	0.174	0.84563	0.338
GSE14769_UNSTIM_VS_40MIN_LPS_BMDM_DN	177	http://www.broadinstitute.org/gsea/msigdb/cards/GSE14769_UNSTIM_VS_40MIN_LPS_BMDM_DN	-0.29188	-1.0804	0.3623	0.9037	1	0.254	0.158	0.217	0.84299	0.338
GSE31082_DN_VS_DP_THYMOCYTE_DN	180	http://www.broadinstitute.org/gsea/msigdb/cards/GSE31082_DN_VS_DP_THYMOCYTE_DN	-0.23622	-1.0802	0.3223	0.9016	1	0.35	0.27	0.259	0.84129	0.336
GSE29618_LAIV_VS_TIV_FLU_VACCINE_DAY7_PDC_DN	141	http://www.broadinstitute.org/gsea/msigdb/cards/GSE29618_LAIV_VS_TIV_FLU_VACCINE_DAY7_PDC_DN	-0.25553	-1.0801	0.2891	0.89859	1	0.199	0.139	0.173	0.83836	0.334
GSE3982_MAC_VS_EFF_MEMORY_CD4_TCELL_UP	176	http://www.broadinstitute.org/gsea/msigdb/cards/GSE3982_MAC_VS_EFF_MEMORY_CD4_TCELL_UP	-0.23041	-1.08	0.3183	0.89608	1	0.205	0.159	0.174	0.83615	0.329
GSE36476_CTRL_VS_TSST_ACT_72H_MEMORY_CD4_TCELL_YOUNG_UP	178	http://www.broadinstitute.org/gsea/msigdb/cards/GSE36476_CTRL_VS_TSST_ACT_72H_MEMORY_CD4_TCELL_YOUNG_UP	-0.26882	-1.0795	0.3307	0.89539	1	0.315	0.195	0.257	0.83639	0.329
GSE17721_CTRL_VS_GARDIQUIMOD_2H_BMDM_DN	151	http://www.broadinstitute.org/gsea/msigdb/cards/GSE17721_CTRL_VS_GARDIQUIMOD_2H_BMDM_DN	-0.22104	-1.0793	0.2791	0.89289	1	0.272	0.197	0.221	0.83433	0.325
